GUID e5e7772b8a48a9ee0eb274317b3c78cc
Type Vendor
ID 43110

Buying 4

Buying_0_ID 65
Buying_0_Cost 25

Buying_1_ID 67
Buying_1_Cost 10

Buying_2_ID 68
Buying_2_Cost 20

Buying_3_ID 285
Buying_3_Cost 5

Buying_4_ID 49101
Buying_4_Cost 100

Buying_5_ID 49102
Buying_5_Cost 1000

Buying_6_ID 49101
Buying_6_Cost 100

Buying_7_ID 49102
Buying_7_Cost 1000


Selling 10

Selling_0_ID 65
Selling_0_Cost 30

Selling_1_ID 67
Selling_1_Cost 15

Selling_2_ID 68
Selling_2_Cost 30

Selling_3_ID 285
Selling_3_Cost 7

Selling_4_ID 40008
Selling_4_Cost 50

Selling_5_ID 40702
Selling_5_Cost 300

Selling_6_ID 40000
Selling_6_Cost 900

Selling_7_ID 40006
Selling_7_Cost 1000

Selling_8_ID 40002
Selling_8_Cost 1150

Selling_9_ID 40004
Selling_9_Cost 1300

Selling_10_ID 49101
Selling_10_Cost 150

Selling_11_ID 49102
Selling_11_Cost 1500

//Selling_10_ID 0
//Selling_10_Cost 1500

//Selling_11_ID 0
//Selling_11_Cost 2000

Selling_12_ID 49101
Selling_12_Cost 150

Selling_13_ID 49102
Selling_13_Cost 1500
