GUID 8e35764da6df4a0093956f99e4d83735
Type Vendor
ID 43102

Buying 14

Buying_0_ID 67
Buying_0_Cost 10

Buying_1_ID 285
Buying_1_Cost 5

Buying_2_ID 40008
Buying_2_Cost 20

Buying_3_ID 40702
Buying_3_Cost 120

Buying_4_ID 40001
Buying_4_Cost 75

Buying_5_ID 40000
Buying_5_Cost 450

Buying_6_ID 40007
Buying_6_Cost 90

Buying_7_ID 40006
Buying_7_Cost 750

Buying_8_ID 40003
Buying_8_Cost 150

Buying_9_ID 40002
Buying_9_Cost 900

Buying_10_ID 40005
Buying_10_Cost 130

Buying_11_ID 40004
Buying_11_Cost 1050

Buying_12_ID 40010
Buying_12_Cost 20

Buying_13_ID 40012
Buying_13_Cost 50

Selling 9

Selling_0_ID 1198
Selling_0_Cost 250

Selling_1_ID 253
Selling_1_Cost 400

Selling_2_ID 76
Selling_2_Cost 400

Selling_3_ID 240
Selling_3_Cost 100

Selling_4_ID 1475
Selling_4_Cost 500

Selling_5_ID 1199
Selling_5_Cost 200

Selling_6_ID 40100
Selling_6_Cost 800

Selling_7_ID 232
Selling_7_Cost 120

Selling_8_ID 2
Selling_8_Cost 100
