GUID 81a1d9929f7e45cc983178964452cb00
Type Vendor
ID 43109

Buying 29

Buying_0_ID 19400
Buying_0_Cost 100

Buying_1_ID 19401
Buying_1_Cost 160

Buying_2_ID 19410
Buying_2_Cost 50

Buying_3_ID 19411
Buying_3_Cost 80

Buying_4_ID 19420
Buying_4_Cost 30

Buying_5_ID 19421
Buying_5_Cost 40

Buying_6_ID 19430
Buying_6_Cost 150

Buying_7_ID 19431
Buying_7_Cost 240

Buying_8_ID 19440
Buying_8_Cost 200

Buying_9_ID 19441
Buying_9_Cost 320

Buying_10_ID 19450
Buying_10_Cost 180

Buying_11_ID 19451
Buying_11_Cost 280

Buying_12_ID 19460
Buying_12_Cost 80

Buying_13_ID 19461
Buying_13_Cost 120

Buying_14_ID 19470
Buying_14_Cost 250

Buying_15_ID 19471
Buying_15_Cost 400

Buying_16_ID 19480
Buying_16_Cost 150

Buying_17_ID 19481
Buying_17_Cost 240

Buying_18_ID 19490
Buying_18_Cost 100

Buying_19_ID 19491
Buying_19_Cost 160

Buying_20_ID 19405
Buying_20_Cost 80

Buying_21_ID 19406
Buying_21_Cost 120

Buying_22_ID 19415
Buying_22_Cost 100

Buying_23_ID 19416
Buying_23_Cost 160

Buying_24_ID 19425
Buying_24_Cost 120

Buying_25_ID 19426
Buying_25_Cost 200

Buying_26_ID 19435
Buying_26_Cost 50

Buying_27_ID 19445
Buying_27_Cost 350

Buying_28_ID 19446
Buying_28_Cost 560


Selling 0
