GUID 1ddeb32975a9494cb7cc2961bf9dc4f1
Type Spawn
ID 10090

Tables 38
Table_0_Asset_ID 333
Table_0_Weight 10
Table_1_Asset_ID 276
Table_1_Weight 10
Table_2_Asset_ID 78
Table_2_Weight 10
Table_3_Asset_ID 1120
Table_3_Weight 10
Table_4_Asset_ID 514
Table_4_Weight 10
Table_5_Asset_ID 460
Table_5_Weight 10
Table_6_Asset_ID 87
Table_6_Weight 10
Table_7_Asset_ID 77
Table_7_Weight 10
Table_8_Asset_ID 88
Table_8_Weight 10
Table_9_Asset_ID 89
Table_9_Weight 10
Table_10_Asset_ID 90
Table_10_Weight 10
Table_11_Asset_ID 79
Table_11_Weight 10
Table_12_Asset_ID 80
Table_12_Weight 10
Table_13_Asset_ID 1176
Table_13_Weight 5
Table_14_Asset_ID 1175
Table_14_Weight 5
Table_15_Asset_ID 337
Table_15_Weight 5
Table_16_Asset_ID 1182
Table_16_Weight 5
Table_17_Asset_ID 1183
Table_17_Weight 5
Table_18_Asset_ID 1187
Table_18_Weight 5
Table_19_Asset_ID 1188
Table_19_Weight 5
Table_20_Asset_ID 1189
Table_20_Weight 5
Table_21_Asset_ID 1184
Table_21_Weight 5
Table_22_Asset_ID 1185
Table_22_Weight 5
Table_23_Asset_ID 1186
Table_23_Weight 5
Table_24_Asset_ID 295
Table_24_Weight 5
Table_25_Asset_ID 390
Table_25_Weight 5
Table_26_Asset_ID 389
Table_26_Weight 5
Table_27_Asset_ID 15
Table_27_Weight 5
Table_28_Asset_ID 81
Table_28_Weight 5
Table_29_Asset_ID 395
Table_29_Weight 5
Table_30_Asset_ID 394
Table_30_Weight 5
Table_31_Asset_ID 288
Table_31_Weight 5
Table_32_Asset_ID 292
Table_32_Weight 5
Table_33_Asset_ID 293
Table_33_Weight 5
Table_34_Asset_ID 294
Table_34_Weight 5
Table_35_Asset_ID 289
Table_35_Weight 5
Table_36_Asset_ID 290
Table_36_Weight 5
Table_37_Asset_ID 291
Table_37_Weight 5
