GUID 63fb004dd8bf4a318ba5c38c83120b68
Type Spawn
ID 10092

Tables 23
Table_0_Asset_ID 43
Table_0_Weight 20
Table_1_Asset_ID 6
Table_1_Weight 20
Table_2_Asset_ID 151
Table_2_Weight 15
Table_3_Asset_ID 150
Table_3_Weight 15
Table_4_Asset_ID 152
Table_4_Weight 15
Table_5_Asset_ID 1021
Table_5_Weight 15
Table_6_Asset_ID 1024
Table_6_Weight 15
Table_7_Asset_ID 149
Table_7_Weight 15
Table_8_Asset_ID 146
Table_8_Weight 15
Table_9_Asset_ID 8
Table_9_Weight 15
Table_10_Asset_ID 147
Table_10_Weight 15
Table_11_Asset_ID 21
Table_11_Weight 15
Table_12_Asset_ID 148
Table_12_Weight 15
Table_13_Asset_ID 18
Table_13_Weight 10
Table_14_Asset_ID 363
Table_14_Weight 10
Table_15_Asset_ID 1375
Table_15_Weight 10
Table_16_Asset_ID 15036
Table_16_Weight 10
Table_17_Asset_ID 1192
Table_17_Weight 10
Table_18_Asset_ID 17
Table_18_Weight 10
Table_19_Asset_ID 15044
Table_19_Weight 10
Table_20_Asset_ID 489
Table_20_Weight 10
Table_21_Asset_ID 1377
Table_21_Weight 10
Table_22_Asset_ID 1037
Table_22_Weight 10
